name,description,storageIco,ico,homepage,localpage,github_user,github_repo
@fortawesome/fontawesome-free,"The iconic font, CSS, and SVG framework",,,,,,
ace-builds,Ace (Ajax.org Cloud9 Editor),,,,,,
admin-lte,a fully responsive administration template. Based on Bootstrap 4.6 framework and also the JS/jQuery plugin. Highly customizable and easy to use.,,,,,,
animate.css,Just-add-water CSS animation,,,,,,
animejs,JavaScript animation engine,,,,,,
autosize,"Autosize is a small, stand-alone script to automatically adjust textarea height to fit text.",,,,,,
axios,Promise based HTTP client for the browser and node.js,,https://axios-http.com/assets/favicon.ico,https://axios-http.com/,,axios,axios
bootstrap,"Sleek, intuitive, and powerful front-end framework for faster and easier web development.",,https://www.bootcss.com/assets/favicons/favicon.ico,https://www.bootcss.com/,,twbs,bootstrap
bootstrap-icons,"Official open source SVG icon library for Bootstrap with over 2,000 icons.",,https://icons.getbootstrap.com/assets/img/favicons/favicon.ico,https://icons.getbootstrap.com/,,twbs,icons
bootstrap-vue,"With more than 85 components, over 45 available plugins, several directives, and 1000+ icons, BootstrapVue provides one of the most comprehensive implementations of the Bootstrap v4 component and grid system available for Vue.js v2.6, complete with extens",,,,,,
chart.js,Simple HTML5 charts using the canvas element.,,,,,,
codemirror,Basic configuration for the CodeMirror code editor,,,https://codemirror.net/5/,,,
crypto-js,JavaScript library of crypto standards.,,,,,,
d3,"a free, open-source JavaScript library for visualizing data.",,,,,,
dplayer,a lovely HTML5 danmaku video player to help people build video and danmaku easily.,,,,,,
echarts,"Apache ECharts is a free, powerful charting and visualization library offering easy ways to add intuitive, interactive, and highly customizable charts to your commercial products.",,,,,,
element-ui,A Component Library for Vue.js.,,,,,,
fancybox,"a tool that offers a nice and elegant way to add zooming functionality for images, html content and multi-media on your webpages.",,,,,,
font-awesome,The iconic font and CSS framework,,,,,,
fork-awesome,A fork of the iconic font and CSS framework,,,,,,
gsap,"a framework-agnostic JavaScript animation library that turns developers into animation superheroes. ",,,,,,
gulp,The streaming build system.,,,,,,
highlight.js,Syntax highlighting with language autodetection.,,,,,,
highlightjs-copy,"A simple, accessible highlightjs plugin to add a copy button to your codeblocks.",,,,,,
holderjs,Holder uses SVG to render image placeholders entirely in browser.,,,,,,
ionicons,"completely open-source icon set with 1,300 icons crafted for web, iOS, Android, and desktop apps.",,,,,,
jquery,"a fast, small, and feature-rich JavaScript library.",,https://jquery.com/favicon.ico,https://jquery.com/,,jquery,jquery
less,Leaner CSS,,,,,,
lodash,Lodash modular utilities.,,,,,,
lazyload,Vanilla JavaScript plugin for lazyloading images,,,,,,
markdown-it,Markdown-it - modern pluggable markdown parser.,,,,,,
masonry-layout,Cascading grid layout library,,https://masonry.desandro.com/favicon.ico,https://masonry.desandro.com/,,desandro,masonry
mathjax,"Beautiful and accessible math in all browsers. MathJax is an open-source JavaScript display engine for LaTeX, MathML, and AsciiMath notation that works in all browsers. This package includes the packaged components (install mathjax-full to get the source",,,,,,
mermaid,"Markdown-ish syntax for generating flowcharts, sequence diagrams, class diagrams, gantt charts and git graphs.",,,https://mermaid.js.org/syntax/flowchart.html,,,
mockjs,生成随机数据 & 拦截 Ajax 请求,,,,,,
moment,"Parse, validate, manipulate, and display dates",,,,,,
monaco-editor,A browser based code editor,,,,,,
normalize.css,A modern alternative to CSS resets,,,,,,
perfect-scrollbar,Minimalistic but perfect custom scrollbar plugin,,https://mdbootstrap.com/favicon.ico,https://perfectscrollbar.com/,./perfect-scrollbar.html,mdbootstrap,perfect-scrollbar
popper.js,Realtime Cross-Browser Automation,,,,,,
react,a JavaScript library for creating user interfaces.,,https://react.docschina.org/favicon.ico,https://react.docschina.org/,,facebook,react
react-bootstrap,Bootstrap 5 components built with React,,,,,,
requirejs,"Node adapter for RequireJS, for loading AMD modules. Includes RequireJS optimizer",,,,,,
sass,A pure JavaScript implementation of Sass.,,,,,,
simple-icons,Over 3100 Free SVG icons for popular brands.,,https://simpleicons.org/images/favicon.ico,https://simpleicons.org/,,simple-icons,simple-icons
simple-line-icons,Simple and elegant line icons.,,,,,,
three,JavaScript 3D library,,,,,,
typescript,TypeScript is a language for application scale JavaScript development,,,,,,
v-contextmenu,ContextMenu based on Vue 2.0,,,,,,
vanilla-lazyload,"LazyLoad is a lightweight (2.4 kB) and flexible script that speeds up your web application by deferring the loading of your below-the-fold images, videos and iframes to when they will enter the viewport. It's written in plain ""vanilla"" JavaScript, it leve",,,,,,
vant,"A lightweight, customizable Vue UI library for mobile web apps.",,,,,,
video.js,An HTML5 video player that supports HLS and DASH with a common API and skin.,,,,,,
vue,"a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",vuejs.ico,,https://cn.vuejs.org/,,vuejs,vue
vue-router,Vue Router is part of the Vue Ecosystem and is an MIT-licensed open source project with its ongoing development made possible entirely by the support of Sponsors.,,,,,,
vuex,state management for Vue.js,,,,,,
